title,price,rating,availability,link,category,price_in_inr
A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock,https://books.toscrape.com/a-flight-of-arrows-the-pathfinders-2_876/index.html,Historical Fiction,6441.4800000000005
The House by the Lake,36.95,One,In stock,https://books.toscrape.com/the-house-by-the-lake_846/index.html,Historical Fiction,4286.200000000001
Mrs. Houdini,30.25,Five,In stock,https://books.toscrape.com/mrs-houdini_821/index.html,Historical Fiction,3509.0
The Marriage of Opposites,28.08,Four,In stock,https://books.toscrape.com/the-marriage-of-opposites_759/index.html,Historical Fiction,3257.2799999999997
Glory over Everything: Beyond The Kitchen House,45.84,Three,In stock,https://books.toscrape.com/glory-over-everything-beyond-the-kitchen-house_696/index.html,Historical Fiction,5317.4400000000005
"Love, Lies and Spies",20.55,Two,In stock,https://books.toscrape.com/love-lies-and-spies_622/index.html,Historical Fiction,2383.8
A Paris Apartment,39.01,Four,In stock,https://books.toscrape.com/a-paris-apartment_612/index.html,Historical Fiction,4525.16
Lilac Girls,17.28,Two,In stock,https://books.toscrape.com/lilac-girls_597/index.html,Historical Fiction,2004.48
The Constant Princess (The Tudor Court #1),16.62,Three,In stock,https://books.toscrape.com/the-constant-princess-the-tudor-court-1_493/index.html,Historical Fiction,1927.92
The Invention of Wings,37.34,One,In stock,https://books.toscrape.com/the-invention-of-wings_448/index.html,Historical Fiction,4331.4400000000005
World Without End (The Pillars of the Earth #2),32.97,Four,In stock,https://books.toscrape.com/world-without-end-the-pillars-of-the-earth-2_420/index.html,Historical Fiction,3824.52
The Passion of Dolssa,28.32,Five,In stock,https://books.toscrape.com/the-passion-of-dolssa_351/index.html,Historical Fiction,3285.12
Girl With a Pearl Earring,26.77,One,In stock,https://books.toscrape.com/girl-with-a-pearl-earring_322/index.html,Historical Fiction,3105.32
Voyager (Outlander #3),21.07,Five,In stock,https://books.toscrape.com/voyager-outlander-3_299/index.html,Historical Fiction,2444.12
The Red Tent,35.66,Five,In stock,https://books.toscrape.com/the-red-tent_273/index.html,Historical Fiction,4136.5599999999995
The Last Painting of Sara de Vos,55.55,Two,In stock,https://books.toscrape.com/the-last-painting-of-sara-de-vos_259/index.html,Historical Fiction,6443.799999999999
The Guernsey Literary and Potato Peel Pie Society,49.53,One,In stock,https://books.toscrape.com/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,Historical Fiction,5745.4800000000005
Girl in the Blue Coat,46.83,Two,In stock,https://books.toscrape.com/girl-in-the-blue-coat_160/index.html,Historical Fiction,5432.28
Between Shades of Gray,20.79,Five,In stock,https://books.toscrape.com/between-shades-of-gray_128/index.html,Historical Fiction,2411.64
While You Were Mine,41.32,Five,In stock,https://books.toscrape.com/while-you-were-mine_97/index.html,Historical Fiction,4793.12
The Secret Healer,34.56,Three,In stock,https://books.toscrape.com/the-secret-healer_80/index.html,Historical Fiction,4008.96
Starlark,25.83,Three,In stock,https://books.toscrape.com/starlark_56/index.html,Historical Fiction,2996.2799999999997
Lost Among the Living,27.7,Four,In stock,https://books.toscrape.com/lost-among-the-living_31/index.html,Historical Fiction,3213.2
A Spy's Devotion (The Regency Spies of London #1),16.97,Five,In stock,https://books.toscrape.com/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,Historical Fiction,1968.52
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock,https://books.toscrape.com/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art,6065.64
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,In stock,https://books.toscrape.com/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Sequential Art,1888.48
This One Summer,19.49,Four,In stock,https://books.toscrape.com/this-one-summer_947/index.html,Sequential Art,2260.8399999999997
The Nameless City (The Nameless City #1),38.16,Four,In stock,https://books.toscrape.com/the-nameless-city-the-nameless-city-1_940/index.html,Sequential Art,4426.5599999999995
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,In stock,https://books.toscrape.com/saga-volume-5-saga-collected-editions-5_923/index.html,Sequential Art,5920.64
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,In stock,https://books.toscrape.com/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Sequential Art,5846.4
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,In stock,https://books.toscrape.com/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Sequential Art,1578.76
"Pop Gun War, Volume 1: Gift",18.97,One,In stock,https://books.toscrape.com/pop-gun-war-volume-1-gift_918/index.html,Sequential Art,2200.52
Patience,10.16,Three,In stock,https://books.toscrape.com/patience_916/index.html,Sequential Art,1178.56
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,In stock,https://books.toscrape.com/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Sequential Art,1791.04
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,In stock,https://books.toscrape.com/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,Sequential Art,5615.5599999999995
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,In stock,https://books.toscrape.com/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Sequential Art,5441.5599999999995
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,In stock,https://books.toscrape.com/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Sequential Art,5290.76
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,In stock,https://books.toscrape.com/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Sequential Art,2310.7200000000003
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,In stock,https://books.toscrape.com/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,Sequential Art,3383.7200000000003
I am a Hero Omnibus Volume 1,54.63,Three,In stock,https://books.toscrape.com/i-am-a-hero-omnibus-volume-1_898/index.html,Sequential Art,6337.08
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,In stock,https://books.toscrape.com/giant-days-vol-2-giant-days-5-8_895/index.html,Sequential Art,2564.7599999999998
Danganronpa Volume 1,51.99,Four,In stock,https://books.toscrape.com/danganronpa-volume-1_889/index.html,Sequential Art,6030.84
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,In stock,https://books.toscrape.com/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,Sequential Art,4259.5199999999995
Camp Midnight,17.08,Four,In stock,https://books.toscrape.com/camp-midnight_886/index.html,Sequential Art,1981.2799999999997
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,In stock,https://books.toscrape.com/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,Sequential Art,4398.72
The Shadow Hero (The Shadow Hero),33.14,One,In stock,https://books.toscrape.com/the-shadow-hero-the-shadow-hero_860/index.html,Sequential Art,3844.2400000000002
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,In stock,https://books.toscrape.com/fables-vol-1-legends-in-exile-fables-1_806/index.html,Sequential Art,4827.92
Batman: The Long Halloween (Batman),36.5,Two,In stock,https://books.toscrape.com/batman-the-long-halloween-batman_793/index.html,Sequential Art,4234.0
Batman: The Dark Knight Returns (Batman),15.38,Five,In stock,https://books.toscrape.com/batman-the-dark-knight-returns-batman_792/index.html,Sequential Art,1784.0800000000002
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,In stock,https://books.toscrape.com/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,Sequential Art,4331.4400000000005
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,One,In stock,https://books.toscrape.com/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,Sequential Art,6252.4
Through the Woods,25.38,Two,In stock,https://books.toscrape.com/through-the-woods_772/index.html,Sequential Art,2944.08
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five,In stock,https://books.toscrape.com/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html,Sequential Art,1379.24
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four,In stock,https://books.toscrape.com/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,Sequential Art,4109.88
Robin War,47.82,Three,In stock,https://books.toscrape.com/robin-war_730/index.html,Sequential Art,5547.12
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two,In stock,https://books.toscrape.com/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,Sequential Art,2955.68
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two,In stock,https://books.toscrape.com/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,Sequential Art,4453.24
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two,In stock,https://books.toscrape.com/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,Sequential Art,5975.16
El Deafo,57.62,Five,In stock,https://books.toscrape.com/el-deafo_691/index.html,Sequential Art,6683.92
Batman: Europa,32.01,Two,In stock,https://books.toscrape.com/batman-europa_668/index.html,Sequential Art,3713.16
Art Ops Vol. 1,48.8,Three,In stock,https://books.toscrape.com/art-ops-vol-1_664/index.html,Sequential Art,5660.799999999999
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Two,In stock,https://books.toscrape.com/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html,Sequential Art,1264.4
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four,In stock,https://books.toscrape.com/fruits-basket-vol-9-fruits-basket-9_563/index.html,Sequential Art,3938.2000000000003
Roller Girl,14.1,Five,In stock,https://books.toscrape.com/roller-girl_540/index.html,Sequential Art,1635.6
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,One,In stock,https://books.toscrape.com/fruits-basket-vol-7-fruits-basket-7_468/index.html,Sequential Art,2270.12
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,Four,In stock,https://books.toscrape.com/fruits-basket-vol-6-fruits-basket-6_427/index.html,Sequential Art,2431.36
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,Three,In stock,https://books.toscrape.com/death-note-vol-6-give-and-take-death-note-6_425/index.html,Sequential Art,4221.24
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,One,In stock,https://books.toscrape.com/fruits-basket-vol-5-fruits-basket-5_376/index.html,Sequential Art,1894.2799999999997
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,One,In stock,https://books.toscrape.com/death-note-vol-5-whiteout-death-note-5_368/index.html,Sequential Art,6079.5599999999995
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,Two,In stock,https://books.toscrape.com/the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html,Sequential Art,3234.08
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,Four,In stock,https://books.toscrape.com/fruits-basket-vol-4-fruits-basket-4_321/index.html,Sequential Art,5851.04
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,Three,In stock,https://books.toscrape.com/the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html,Sequential Art,1671.56
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,Five,In stock,https://books.toscrape.com/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html,Sequential Art,6443.799999999999
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,Five,In stock,https://books.toscrape.com/saga-volume-3-saga-collected-editions-3_216/index.html,Sequential Art,2502.12
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,Three,In stock,https://books.toscrape.com/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html,Sequential Art,5061.08
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,One,In stock,https://books.toscrape.com/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html,Sequential Art,4539.08
Original Fake,31.45,Three,In stock,https://books.toscrape.com/original-fake_203/index.html,Sequential Art,3648.2
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,One,In stock,https://books.toscrape.com/grayson-vol-3-nemesis-grayson-3_164/index.html,Sequential Art,4955.5199999999995
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,Two,In stock,https://books.toscrape.com/fruits-basket-vol-3-fruits-basket-3_159/index.html,Sequential Art,5239.72
"Black Butler, Vol. 1 (Black Butler #1)",49.31,One,In stock,https://books.toscrape.com/black-butler-vol-1-black-butler-1_130/index.html,Sequential Art,5719.96
Awkward,38.02,Two,In stock,https://books.toscrape.com/awkward_124/index.html,Sequential Art,4410.320000000001
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,One,In stock,https://books.toscrape.com/the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html,Sequential Art,6357.96
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,Three,In stock,https://books.toscrape.com/saga-volume-2-saga-collected-editions-2_107/index.html,Sequential Art,1363.0
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,Five,In stock,https://books.toscrape.com/fruits-basket-vol-2-fruits-basket-2_100/index.html,Sequential Art,1350.24
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,Four,In stock,https://books.toscrape.com/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html,Sequential Art,2147.1600000000003
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,Two,In stock,https://books.toscrape.com/the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html,Sequential Art,4236.320000000001
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,Three,In stock,https://books.toscrape.com/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html,Sequential Art,6277.92
The Complete Maus (Maus #1-2),10.64,Three,In stock,https://books.toscrape.com/the-complete-maus-maus-1-2_62/index.html,Sequential Art,1234.24
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,Three,In stock,https://books.toscrape.com/skip-beat-vol-01-skip-beat-1_55/index.html,Sequential Art,4885.92
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,One,In stock,https://books.toscrape.com/saga-volume-1-saga-collected-editions-1_48/index.html,Sequential Art,3303.68
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,Five,In stock,https://books.toscrape.com/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html,Sequential Art,5447.36
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,Four,In stock,https://books.toscrape.com/paper-girls-vol-1-paper-girls-1-5_44/index.html,Sequential Art,2518.36
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,Three,In stock,https://books.toscrape.com/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html,Sequential Art,3464.92
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,Four,In stock,https://books.toscrape.com/ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html,Sequential Art,4569.24
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,Three,In stock,https://books.toscrape.com/hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html,Sequential Art,5247.84
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,Four,In stock,https://books.toscrape.com/giant-days-vol-1-giant-days-1-4_22/index.html,Sequential Art,6584.16
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,Five,In stock,https://books.toscrape.com/fruits-basket-vol-1-fruits-basket-1_21/index.html,Sequential Art,4672.4800000000005
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,Five,In stock,https://books.toscrape.com/bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html,Sequential Art,4019.3999999999996
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,Four,In stock,https://books.toscrape.com/ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html,Sequential Art,6618.96
The Secret Garden,15.08,Four,In stock,https://books.toscrape.com/the-secret-garden_413/index.html,Classics,1749.28
The Metamorphosis,28.58,One,In stock,https://books.toscrape.com/the-metamorphosis_409/index.html,Classics,3315.2799999999997
The Pilgrim's Progress,50.26,Two,In stock,https://books.toscrape.com/the-pilgrims-progress_353/index.html,Classics,5830.16
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,Two,In stock,https://books.toscrape.com/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,Classics,1719.1200000000001
Little Women (Little Women #1),28.07,Four,In stock,https://books.toscrape.com/little-women-little-women-1_331/index.html,Classics,3256.12
Gone with the Wind,32.49,Three,In stock,https://books.toscrape.com/gone-with-the-wind_324/index.html,Classics,3768.84
Candide,58.63,Three,In stock,https://books.toscrape.com/candide_316/index.html,Classics,6801.08
Animal Farm,57.22,Three,In stock,https://books.toscrape.com/animal-farm_313/index.html,Classics,6637.5199999999995
Wuthering Heights,17.73,Three,In stock,https://books.toscrape.com/wuthering-heights_307/index.html,Classics,2056.68
The Picture of Dorian Gray,29.7,Two,In stock,https://books.toscrape.com/the-picture-of-dorian-gray_270/index.html,Classics,3445.2
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,Four,In stock,https://books.toscrape.com/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,Classics,3106.48
Beowulf,38.35,Two,In stock,https://books.toscrape.com/beowulf_126/index.html,Classics,4448.6
And Then There Were None,35.01,Two,In stock,https://books.toscrape.com/and-then-there-were-none_119/index.html,Classics,4061.16
The Story of Hong Gildong,43.19,Four,In stock,https://books.toscrape.com/the-story-of-hong-gildong_84/index.html,Classics,5010.04
The Little Prince,45.42,Two,In stock,https://books.toscrape.com/the-little-prince_72/index.html,Classics,5268.72
Sense and Sensibility,37.46,One,In stock,https://books.toscrape.com/sense-and-sensibility_49/index.html,Classics,4345.36
Of Mice and Men,47.11,Two,In stock,https://books.toscrape.com/of-mice-and-men_37/index.html,Classics,5464.76
Emma,32.93,Two,In stock,https://books.toscrape.com/emma_17/index.html,Classics,3819.88
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,One,In stock,https://books.toscrape.com/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,Classics,6441.4800000000005
Sophie's World,15.94,Five,In stock,https://books.toscrape.com/sophies-world_966/index.html,Philosophy,1849.04
The Death of Humanity: and the Case for Life,58.11,Four,In stock,https://books.toscrape.com/the-death-of-humanity-and-the-case-for-life_932/index.html,Philosophy,6740.76
The Stranger,17.44,Four,In stock,https://books.toscrape.com/the-stranger_861/index.html,Philosophy,2023.0400000000002
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,One,In stock,https://books.toscrape.com/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,Philosophy,6288.36
Kierkegaard: A Christian Missionary to Christians,47.13,One,In stock,https://books.toscrape.com/kierkegaard-a-christian-missionary-to-christians_527/index.html,Philosophy,5467.08
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,Five,In stock,https://books.toscrape.com/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,Philosophy,3471.88
Critique of Pure Reason,20.75,One,In stock,https://books.toscrape.com/critique-of-pure-reason_366/index.html,Philosophy,2407.0
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,One,In stock,https://books.toscrape.com/run-spot-run-the-ethics-of-keeping-pets_106/index.html,Philosophy,2322.32
The Nicomachean Ethics,36.34,One,In stock,https://books.toscrape.com/the-nicomachean-ethics_75/index.html,Philosophy,4215.4400000000005
Meditations,25.89,Two,In stock,https://books.toscrape.com/meditations_33/index.html,Philosophy,3003.2400000000002
